                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.3273,                 2.7639,                 2.8192,                0.61965,                0.14665,                0.13966,                0.06373,                 2.4115,                 3.1619,                 2.8546,              0.0007822,              0.0007822,              0.0007822
                     36,                 2.3219,                 3.0676,                 2.8148,                0.84918,                0.09157,                0.13107,                0.05939,                 2.4922,                 3.3099,                 2.9181,              0.0007756,              0.0007756,              0.0007756
                     37,                 2.3716,                 2.8212,                 2.7925,                0.72087,                0.15992,                0.15238,                0.06603,                 2.3599,                 3.1999,                 2.8109,               0.000769,               0.000769,               0.000769
                     38,                 2.3593,                 2.7932,                 2.7246,                 0.5016,                0.20646,                0.13461,                0.05242,                 2.3306,                 3.2627,                 2.7712,              0.0007624,              0.0007624,              0.0007624
                     39,                 2.2757,                 2.6817,                 2.7079,                0.53804,                 0.2306,                0.18077,                0.07811,                 2.2691,                 2.9005,                 2.7419,              0.0007558,              0.0007558,              0.0007558
                     40,                 2.2604,                 2.7282,                 2.7447,                0.50676,                0.23267,                0.22763,                0.09836,                 2.1293,                 2.8467,                 2.6243,              0.0007492,              0.0007492,              0.0007492
                     41,                 2.3337,                  2.644,                 2.7161,                0.54841,                0.14595,                0.15589,                0.06775,                 2.2203,                 3.1477,                 2.6686,              0.0007426,              0.0007426,              0.0007426
                     42,                 2.1874,                  2.609,                 2.6414,                0.55267,                0.16316,                0.17839,                0.07922,                 2.2832,                 3.1222,                  2.686,               0.000736,               0.000736,               0.000736
                     43,                 2.2499,                 2.7076,                 2.6987,                0.81811,                0.11144,                0.14985,                0.06702,                 2.3087,                 3.1131,                 2.6781,              0.0007294,              0.0007294,              0.0007294
                     44,                 2.2316,                 2.5934,                 2.6527,                   0.35,                0.31117,                0.21903,                0.09827,                 2.0635,                 2.9012,                 2.4904,              0.0007228,              0.0007228,              0.0007228
                     45,                  2.143,                 2.5387,                 2.5699,                0.61547,                0.25484,                0.26451,                0.12015,                 2.0424,                 2.7433,                 2.4746,              0.0007162,              0.0007162,              0.0007162
                     46,                 2.1125,                 2.4674,                 2.5529,                0.57155,                0.31567,                0.27817,                0.11783,                 2.0694,                 2.7224,                 2.4957,              0.0007096,              0.0007096,              0.0007096
                     47,                 2.2157,                 2.6173,                 2.6281,                0.65085,                0.29629,                0.29222,                0.13502,                  2.007,                 2.5586,                 2.4647,               0.000703,               0.000703,               0.000703
                     48,                 2.1113,                 2.5144,                 2.5682,                0.76208,                0.26972,                0.31538,                0.15224,                 1.9686,                 2.4156,                  2.425,              0.0006964,              0.0006964,              0.0006964
                     49,                 2.0425,                 2.4405,                 2.5214,                0.70066,                0.25983,                0.31273,                0.16105,                  1.976,                 2.4253,                 2.4189,              0.0006898,              0.0006898,              0.0006898
                     50,                 2.0863,                 2.4219,                 2.5283,                0.65123,                0.26567,                0.28889,                0.15118,                 1.9314,                 2.4137,                    2.4,              0.0006832,              0.0006832,              0.0006832
                     51,                 2.0882,                 2.3146,                 2.4919,                0.46718,                0.26379,                0.30966,                0.15735,                 1.9358,                 2.3252,                  2.428,              0.0006766,              0.0006766,              0.0006766
                     52,                 2.0217,                 2.3078,                 2.4441,                 0.6336,                0.31222,                0.34678,                0.17617,                 1.9269,                 2.2805,                 2.4382,                0.00067,                0.00067,                0.00067
                     53,                 2.0604,                 2.3807,                  2.504,                0.57594,                0.34694,                0.36622,                0.19188,                 1.8471,                 2.1937,                  2.385,              0.0006634,              0.0006634,              0.0006634
                     54,                 1.9533,                 2.2316,                 2.4168,                0.73611,                0.29995,                 0.3886,                0.19018,                 1.9182,                 2.2093,                 2.4105,              0.0006568,              0.0006568,              0.0006568
                     55,                  2.126,                 2.3706,                 2.5219,                0.56697,                0.31185,                0.37415,                0.19052,                 1.8824,                 2.1886,                 2.3579,              0.0006502,              0.0006502,              0.0006502
                     56,                 1.9729,                 2.3297,                 2.4412,                0.50564,                0.37033,                0.34931,                0.17916,                  1.869,                 2.2072,                 2.3517,              0.0006436,              0.0006436,              0.0006436
                     57,                 1.9813,                 2.1803,                 2.4141,                0.52789,                0.39466,                0.39268,                 0.2027,                 1.8537,                 2.1284,                  2.322,               0.000637,               0.000637,               0.000637
                     58,                 1.9932,                 2.1494,                 2.3605,                0.50686,                0.37613,                0.38376,                0.18873,                 1.9035,                 2.2286,                 2.3499,              0.0006304,              0.0006304,              0.0006304
                     59,                 1.9676,                 2.1616,                   2.37,                0.49713,                 0.4147,                0.38704,                0.20408,                 1.8021,                 2.1246,                 2.2944,              0.0006238,              0.0006238,              0.0006238
                     60,                 2.0053,                 2.1284,                 2.3527,                0.74649,                0.27242,                0.38923,                0.19981,                 1.7927,                 2.1363,                  2.328,              0.0006172,              0.0006172,              0.0006172
                     61,                 1.8907,                 2.1277,                 2.3638,                0.72342,                 0.2685,                0.36609,                0.18959,                 1.8833,                 2.2181,                 2.3664,              0.0006106,              0.0006106,              0.0006106
                     62,                 1.9204,                 2.0421,                 2.3539,                0.72521,                0.29033,                0.38494,                0.20599,                 1.8178,                 2.1579,                 2.3136,               0.000604,               0.000604,               0.000604
                     63,                 1.8819,                 2.1448,                 2.3639,                0.75308,                0.33952,                0.44562,                0.22776,                  1.846,                 1.9596,                 2.3274,              0.0005974,              0.0005974,              0.0005974
