                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4352,                 1.1696,                 1.4992,                0.74958,                0.43211,                0.46582,                 0.2939,                 1.2547,                 1.0877,                  1.398,             0.00099001,             0.00099001,             0.00099001
                     36,                 1.4397,                 1.1238,                 1.4876,                0.77185,                0.49664,                0.52174,                 0.3212,                 1.2651,                0.93645,                 1.4052,             0.00098635,             0.00098635,             0.00098635
                     37,                 1.4292,                 1.1274,                 1.4623,                0.68748,                0.52232,                0.48558,                0.30894,                 1.2094,                0.95934,                 1.3669,             0.00098268,             0.00098268,             0.00098268
                     38,                 1.3924,                 1.1005,                 1.4867,                0.73495,                0.37839,                0.43475,                0.27884,                 1.2429,                 1.0913,                 1.4013,             0.00097901,             0.00097901,             0.00097901
                     39,                 1.3949,                 1.0767,                 1.4442,                0.73163,                0.49063,                0.52543,                0.31017,                  1.298,                 1.0097,                  1.417,             0.00097535,             0.00097535,             0.00097535
                     40,                 1.4685,                 1.1607,                  1.495,                0.62241,                0.49331,                0.51621,                0.30353,                 1.3239,                 1.0436,                 1.4241,             0.00097168,             0.00097168,             0.00097168
                     41,                 1.3804,                 1.1146,                 1.4752,                0.77213,                0.54104,                0.58569,                0.35731,                 1.2044,                0.89768,                 1.3758,             0.00096801,             0.00096801,             0.00096801
                     42,                 1.3616,                 1.0818,                  1.424,                0.63949,                0.53509,                0.55087,                0.34656,                 1.1892,                0.84922,                 1.3529,             0.00096435,             0.00096435,             0.00096435
                     43,                 1.3675,                 1.0946,                 1.4614,                0.66682,                0.51989,                0.53556,                0.34077,                 1.2223,                 1.0021,                 1.3736,             0.00096068,             0.00096068,             0.00096068
                     44,                 1.3641,                 1.0544,                 1.3898,                0.70495,                0.53335,                 0.5706,                0.35113,                 1.2077,                0.86399,                 1.3623,             0.00095702,             0.00095702,             0.00095702
                     45,                 1.3467,                 1.0879,                  1.419,                0.70078,                0.50475,                0.57639,                 0.3578,                 1.1858,                0.92309,                 1.3411,             0.00095335,             0.00095335,             0.00095335
                     46,                 1.3323,                 1.0386,                 1.3929,                0.66863,                0.51166,                0.55582,                 0.3495,                 1.1953,                0.88255,                 1.3563,             0.00094968,             0.00094968,             0.00094968
                     47,                 1.3661,                 1.0274,                 1.3985,                 0.5621,                0.59045,                0.60385,                0.37114,                 1.1786,                0.81472,                 1.3377,             0.00094602,             0.00094602,             0.00094602
                     48,                 1.3377,                 1.0204,                 1.4045,                0.72155,                0.55797,                0.60667,                0.36631,                 1.1996,                 0.8465,                 1.3456,             0.00094235,             0.00094235,             0.00094235
                     49,                 1.3263,                 1.0159,                 1.3888,                0.60131,                0.59571,                0.64999,                0.38711,                 1.2662,                0.88935,                 1.3644,             0.00093868,             0.00093868,             0.00093868
                     50,                 1.3274,                0.99079,                 1.3694,                0.61382,                 0.6488,                0.64481,                0.39672,                 1.1746,                0.79682,                 1.3208,             0.00093502,             0.00093502,             0.00093502
                     51,                 1.3476,                 1.0002,                 1.3846,                0.65613,                 0.6395,                0.68684,                0.41517,                 1.1611,                0.82036,                 1.3199,             0.00093135,             0.00093135,             0.00093135
                     52,                 1.3004,                0.95008,                 1.3906,                0.51289,                0.68066,                 0.6044,                0.37345,                 1.1971,                0.85869,                 1.3428,             0.00092769,             0.00092769,             0.00092769
                     53,                 1.2951,                0.95133,                 1.3886,                0.59229,                 0.6161,                0.64777,                 0.3976,                 1.1332,                0.80384,                 1.3029,             0.00092402,             0.00092402,             0.00092402
                     54,                 1.3295,                0.98892,                 1.3832,                0.60348,                0.64329,                0.64852,                0.40085,                 1.1487,                0.82427,                 1.3115,             0.00092035,             0.00092035,             0.00092035
                     55,                 1.2944,                0.96023,                 1.3726,                0.59711,                0.66481,                0.63739,                0.39688,                 1.1202,                0.84492,                 1.3035,             0.00091669,             0.00091669,             0.00091669
                     56,                 1.2849,                0.95391,                 1.3671,                0.59907,                0.70978,                0.64267,                0.39978,                 1.1494,                0.78105,                  1.307,             0.00091302,             0.00091302,             0.00091302
                     57,                 1.2546,                0.91745,                 1.3253,                0.53302,                0.66712,                0.66333,                0.40235,                 1.1671,                0.78393,                 1.3265,             0.00090935,             0.00090935,             0.00090935
                     58,                 1.2718,                0.91015,                   1.34,                0.65777,                0.65629,                0.66597,                0.41332,                 1.1084,                0.76734,                 1.2847,             0.00090569,             0.00090569,             0.00090569
                     59,                 1.2343,                0.95094,                 1.3608,                0.59524,                0.68559,                0.66386,                0.41487,                 1.0935,                0.77795,                 1.2613,             0.00090202,             0.00090202,             0.00090202
                     60,                 1.2627,                0.91679,                 1.3414,                0.64136,                0.74383,                0.68921,                0.41609,                 1.1333,                 0.7678,                 1.2985,             0.00089835,             0.00089835,             0.00089835
                     61,                 1.2568,                0.89912,                 1.3327,                0.62266,                0.66722,                0.65209,                0.40791,                 1.1328,                0.74696,                 1.2954,             0.00089469,             0.00089469,             0.00089469
                     62,                 1.2534,                0.91083,                 1.3506,                0.63927,                0.73346,                0.67477,                0.43249,                 1.1243,                0.82487,                 1.2891,             0.00089102,             0.00089102,             0.00089102
                     63,                 1.2464,                0.91512,                 1.3161,                0.60845,                0.68831,                0.67764,                0.42306,                 1.0801,                0.76142,                 1.2612,             0.00088736,             0.00088736,             0.00088736
                     64,                 1.2164,                0.88352,                 1.3037,                0.61681,                0.70496,                0.66227,                0.43193,                 1.0817,                0.75224,                 1.2593,             0.00088369,             0.00088369,             0.00088369
                     65,                 1.2425,                0.89405,                  1.316,                0.67887,                0.71198,                0.72459,                0.45544,                 1.0963,                 0.7254,                 1.2765,             0.00088002,             0.00088002,             0.00088002
                     66,                 1.2294,                0.89453,                 1.3044,                0.65852,                0.68308,                0.69883,                0.42098,                 1.1625,                0.85972,                 1.3118,             0.00087636,             0.00087636,             0.00087636
                     67,                 1.2396,                0.92474,                 1.3211,                0.63817,                0.73553,                0.72048,                0.46848,                 1.0643,                0.72466,                 1.2489,             0.00087269,             0.00087269,             0.00087269
                     68,                 1.2402,                0.89639,                 1.3626,                0.57643,                  0.656,                0.66237,                0.42027,                  1.107,                0.81645,                 1.2717,             0.00086902,             0.00086902,             0.00086902
                     69,                 1.2296,                0.91063,                 1.3335,                0.66831,                0.75505,                0.71675,                0.44539,                 1.0734,                0.71631,                 1.2526,             0.00086536,             0.00086536,             0.00086536
                     70,                 1.2111,                0.84444,                 1.3078,                0.64859,                0.79237,                0.72599,                 0.4656,                 1.0703,                0.74878,                 1.2493,             0.00086169,             0.00086169,             0.00086169
                     71,                 1.2083,                0.85209,                 1.2997,                0.66613,                0.74837,                0.72454,                0.47067,                 1.0661,                0.69988,                  1.247,             0.00085803,             0.00085803,             0.00085803
                     72,                 1.1881,                0.81626,                 1.2847,                0.69531,                0.85003,                0.78262,                 0.4944,                 1.0895,                0.66779,                 1.2733,             0.00085436,             0.00085436,             0.00085436
                     73,                 1.2251,                0.85874,                 1.3032,                0.64117,                0.79749,                0.74471,                0.48147,                 1.0777,                0.73022,                 1.2598,             0.00085069,             0.00085069,             0.00085069
